station_id,latitude,longitude,initial_stock,capacity,net,move_out,move_in
888,55.94474957118208,-3.186542135633317,1,3,-1.0,0.0,1.0
889,55.9419563895648,-3.237802024128314,0,4,1.0,1.0,0.0
890,55.94386198333096,-3.184972223259024,1,3,-1.0,0.0,1.0
891,55.93821225851473,-3.17897226737648,0,3,0.0,0.0,0.0
964,55.92701363904687,-3.2485567753103624,0,3,0.0,0.0,0.0
965,55.945452213917534,-3.2196795574359385,0,3,0.0,0.0,0.0
980,55.940906749395,-3.3688722251728223,0,3,0.0,0.0,0.0
981,55.94065528387753,-3.381606403941987,0,3,0.0,0.0,0.0
982,55.93909048596021,-3.355912910873826,0,3,0.0,0.0,0.0
1017,55.94475574122453,-3.1869169742698205,0,3,3.0,3.0,0.0
1018,55.94969158307013,-3.18781281937504,0,3,0.0,0.0,0.0
1019,55.947097278583385,-3.1972457326126005,0,3,0.0,0.0,0.0
1024,55.94023763168944,-3.194640214184801,1,5,4.0,4.0,0.0
1025,55.93970989541296,-3.2205889336679547,3,5,2.0,2.0,0.0
1026,55.97544142756835,-3.166806411195239,0,3,0.0,0.0,0.0
1028,55.95003729291336,-3.1878215188269223,0,3,0.0,0.0,0.0
1030,55.94380585491596,-3.211238456749925,0,3,0.0,0.0,0.0
1031,55.95261935955009,-3.205678007970846,0,3,0.0,0.0,0.0
1033,55.93193490858167,-3.0730457717661466,0,3,0.0,0.0,0.0
1038,55.97132539148155,-3.207963567424258,0,3,0.0,0.0,0.0
1039,55.94740919920712,-3.2057654971365537,0,4,1.0,1.0,0.0
1040,55.926664566092654,-3.289467852759799,0,3,0.0,0.0,0.0
1041,55.94405135341408,-3.098567246199309,0,3,0.0,0.0,0.0
1042,55.92446420087144,-3.1787315124754514,0,3,0.0,0.0,0.0
1050,55.94607055533778,-3.2103963310007657,0,3,0.0,0.0,0.0
1051,55.93836921723555,-3.1980326885466184,3,3,-3.0,0.0,3.0
1052,55.94664279961712,-3.185474585938892,0,3,0.0,0.0,0.0
1055,55.94442555452843,-3.234497716594433,1,3,-1.0,0.0,1.0
1056,55.93437199635734,-3.105037819791278,0,3,0.0,0.0,0.0
1057,55.94820962824952,-3.181597452807864,0,3,0.0,0.0,0.0
1090,55.95787194536338,-3.175888370919665,0,3,0.0,0.0,0.0
1091,55.94955950619123,-3.180413257527789,0,11,11.0,11.0,0.0
1092,55.94179129688128,-3.2224153095965,0,3,0.0,0.0,0.0
1093,55.95197357717703,-3.226124804664096,0,3,0.0,0.0,0.0
1095,55.97593978299806,-3.191321207818646,2,3,1.0,1.0,0.0
1096,55.9438359841253,-3.1849514084976818,0,3,0.0,0.0,0.0
1097,55.93796327344498,-3.185021145932069,2,3,-2.0,0.0,2.0
1098,55.9364319181482,-3.194150044314256,2,3,0.0,0.0,0.0
1102,55.94558221753474,-3.218192059354351,1,3,-1.0,0.0,1.0
1720,55.9607624081837,-3.201278014771333,0,3,0.0,0.0,0.0
1721,55.944248052468346,-3.2031045991104747,0,3,1.0,1.0,0.0
1722,55.98003076740317,-3.300641788832536,0,3,0.0,0.0,0.0
1723,55.90880966452917,-3.320141905887681,0,3,0.0,0.0,0.0
1724,55.90840398606208,-3.3288253589253145,0,3,0.0,0.0,0.0
1725,55.94211534619251,-3.2692867654484417,0,3,0.0,0.0,0.0
1726,55.94485886752089,-3.182589723460069,2,3,-2.0,0.0,2.0
1727,55.93650603148236,-3.1801663476151134,1,3,-1.0,0.0,1.0
1728,55.95791540692348,-3.118332042090288,0,3,0.0,0.0,0.0
1729,55.9640310527501,-3.1851753729504253,0,3,0.0,0.0,0.0
1730,55.95995414501485,-3.1871977585476543,0,3,0.0,0.0,0.0
1731,55.947566653309394,-3.181591941706529,0,3,0.0,0.0,0.0
1737,55.96411787988959,-3.202094747416368,0,3,3.0,3.0,0.0
1738,55.94564841884953,-3.231847150914064,0,3,0.0,0.0,0.0
1739,55.92063236018849,-3.140540732733598,0,3,0.0,0.0,0.0
1740,55.940886347739024,-3.2407775658291484,0,3,0.0,0.0,0.0
1743,55.964058329676064,-3.195700361124864,0,3,0.0,0.0,0.0
1744,55.927985349796536,-3.209749771944871,0,3,0.0,0.0,0.0
1745,55.96037972054591,-3.1954703369027584,0,3,0.0,0.0,0.0
1747,55.94166971920444,-3.271523727766862,0,3,0.0,0.0,0.0
1748,55.93341635916104,-3.21239711224257,0,3,0.0,0.0,0.0
1749,55.957278012740645,-3.2142853873890544,0,3,0.0,0.0,0.0
1752,55.96264210870907,-3.231915547243944,0,3,0.0,0.0,0.0
1753,55.95953624971772,-3.223434402338853,0,3,0.0,0.0,0.0
1754,55.94191081116495,-3.2378003138226177,0,3,0.0,0.0,0.0
1756,55.963453810934496,-3.232909305683961,0,3,0.0,0.0,0.0
1757,55.92758664038103,-3.2336710530441906,0,3,0.0,0.0,0.0
1763,55.95941012836135,-3.2156613606136943,0,3,0.0,0.0,0.0
1764,55.95657629337518,-3.237939788691392,0,3,0.0,0.0,0.0
1765,55.946063966641006,-3.2230240243595745,0,3,0.0,0.0,0.0
1766,55.93894174548949,-3.251110776059022,0,3,0.0,0.0,0.0
1767,55.937123239991095,-3.206431879393449,0,3,0.0,0.0,0.0
1768,55.93532370964813,-3.198763443819871,0,3,0.0,0.0,0.0
1769,55.96085174106396,-3.180985762469163,0,3,0.0,0.0,0.0
1770,55.945045875212095,-3.250881447188249,0,3,0.0,0.0,0.0
1758,55.931980482636575,-3.0731046336811687,0,3,0.0,0.0,0.0
