date,hour,end_hour,start_station_id,end_station_id,day_type,trips
2018-10-04,15,16,225,261,1,1
2018-10-04,15,16,248,261,1,1
2018-10-04,15,17,247,262,1,1
2018-10-04,15,17,252,262,1,1
2018-10-04,16,17,247,250,1,1
2018-10-04,16,17,249,171,1,1
2018-10-04,16,17,249,253,1,1
2018-10-04,16,17,250,258,1,1
2018-10-04,16,17,254,248,1,1
2018-10-04,16,17,256,260,1,1
2018-10-04,16,17,261,251,1,1
2018-10-04,16,17,262,273,1,1
2018-10-04,16,17,264,225,1,1
2018-10-04,16,17,264,257,1,1
2018-10-04,16,17,273,275,1,1
2018-10-04,16,17,275,259,1,1
2018-10-04,16,18,247,248,1,1
2018-10-04,16,18,249,225,1,1
2018-10-04,16,18,266,171,1,1
2018-10-04,17,18,171,253,1,1
2018-10-04,17,18,246,262,1,1
2018-10-04,17,18,251,273,1,1
2018-10-04,17,18,255,265,1,1
2018-10-04,17,18,258,261,1,1
2018-10-04,17,18,265,249,1,1
2018-10-04,17,19,171,264,1,1
2018-10-04,17,19,253,171,1,1
2018-10-04,17,19,257,262,1,1
2018-10-04,18,19,248,254,1,1
2018-10-04,18,19,250,258,1,1
2018-10-04,18,19,254,265,1,1
2018-10-04,18,19,265,252,1,1
2018-10-04,18,19,275,250,1,2
2018-10-04,18,19,275,259,1,1
2018-10-04,18,20,251,249,1,1
2018-10-04,19,20,248,265,1,1
2018-10-04,19,20,259,257,1,1
2018-10-04,19,20,273,262,1,1
2018-10-04,20,21,248,249,1,1
2018-10-04,20,21,253,265,1,1
2018-10-04,20,22,248,273,1,1
2018-10-04,21,22,246,258,1,1
2018-10-04,21,22,247,262,1,1
2018-10-04,21,22,264,246,1,1
2018-10-04,21,23,183,258,1,2
2018-10-04,22,23,183,261,1,1
2018-10-04,22,23,248,249,1,2
2018-10-04,23,0,275,249,1,1
2018-10-04,23,1,273,250,1,1
2018-10-05,0,1,260,246,1,1
2018-10-05,6,7,225,273,1,1
2018-10-05,7,8,249,171,1,1
2018-10-05,7,8,253,275,1,1
2018-10-05,7,8,275,252,1,1
2018-10-05,7,9,171,250,1,1
2018-10-05,7,9,247,250,1,1
2018-10-05,7,9,257,250,1,1
2018-10-05,7,9,261,248,1,1
2018-10-05,7,9,264,247,1,1
2018-10-05,8,9,246,265,1,1
2018-10-05,8,9,253,265,1,1
2018-10-05,8,9,256,253,1,1
2018-10-05,8,9,259,249,1,1
2018-10-05,8,9,273,256,1,2
2018-10-05,8,10,264,254,1,1
2018-10-05,8,10,273,266,1,1
2018-10-05,8,11,273,266,1,1
2018-10-05,9,10,248,249,1,1
2018-10-05,9,10,249,171,1,1
2018-10-05,9,10,264,171,1,1
2018-10-05,9,10,265,183,1,1
2018-10-05,10,11,262,258,1,1
2018-10-05,10,11,262,264,1,1
2018-10-05,10,11,266,258,1,2
2018-10-05,10,12,246,254,1,1
2018-10-05,10,12,249,225,1,1
2018-10-05,10,12,262,266,1,1
2018-10-05,11,12,225,273,1,1
2018-10-05,11,12,246,262,1,1
