started_at,ended_at,duration,start_station_id,start_station_name,start_station_description,start_station_latitude,start_station_longitude,end_station_id,end_station_name,end_station_description,end_station_latitude,end_station_longitude
2021-09-01 10:37:53.797000+00:00,2021-09-01 10:56:29.128000+00:00,1115,1050,EICC,Outside Edinburgh International Conference Centre,55.94607055533778,-3.2103963310007657,183,Waverley Bridge,near the top of the South ramp,55.951980756193535,-3.191890332557904
2021-09-01 10:41:22.215000+00:00,2021-09-01 11:07:10.712000+00:00,1548,1737,Inverleith Row,Corner with Inverleith Terrace,55.96411787988959,-3.202094747416368,1737,Inverleith Row,Corner with Inverleith Terrace,55.96411787988959,-3.202094747416368
2021-09-01 10:54:05.890000+00:00,2021-09-01 12:10:27.697000+00:00,4581,265,Meadows East,Between Melville Terrace and Sciennes,55.939809466328285,-3.182738850746432,265,Meadows East,Between Melville Terrace and Sciennes,55.939809466328285,-3.182738850746432
2021-09-01 10:54:15.107000+00:00,2021-09-01 11:20:36.425000+00:00,1581,1025,Dundee Terrace,Corner of Dundee Street & Dundee Terrace,55.93970989541296,-3.2205889336679547,1025,Dundee Terrace,Corner of Dundee Street & Dundee Terrace,55.93970989541296,-3.2205889336679547
2021-09-01 10:56:50.362000+00:00,2021-09-01 13:57:26.914000+00:00,10836,1767,Bruntsfield Links,Corner of Bruntsfield Links next to Public Toilets,55.937123239991095,-3.206431879393449,1092,Dalry Road Lidl,,55.94179129688128,-3.2224153095965
2021-09-01 11:02:11.448000+00:00,2021-09-01 11:25:53.414000+00:00,1421,296,Castle Terrace,Corner of Castle Terrace and Lady Lawson St,55.94676648672239,-3.2020378290551434,252,Kings Buildings 1,Grant Institute,55.92418540667696,-3.173830830087809
2021-09-01 11:17:07.282000+00:00,2021-09-01 11:26:50.351000+00:00,583,265,Meadows East,Between Melville Terrace and Sciennes,55.939809466328285,-3.182738850746432,1721,Tollcross,Outside Piccolinos off Lauriston Place,55.944248052468346,-3.2031045991104747
2021-09-01 11:17:41.570000+00:00,2021-09-01 12:18:42.217000+00:00,3660,2268,Picardy Place,Outside Omni Centre,55.95653524179326,-3.1862476120746805,250,Victoria Quay,Entrance to Scottish Government Office,55.97761715254634,-3.174126319457628
2021-09-01 11:19:14.494000+00:00,2021-09-01 11:30:09.965000+00:00,655,259,St Andrew Square,North East corner,55.95490573198223,-3.192443756949956,1729,McDonald Road,Next to Fire Station,55.9640310527501,-3.1851753729504253
2021-09-01 11:20:18.070000+00:00,2021-09-01 12:19:54.288000+00:00,3576,2268,Picardy Place,Outside Omni Centre,55.95653524179326,-3.1862476120746805,250,Victoria Quay,Entrance to Scottish Government Office,55.97761715254634,-3.174126319457628
2021-09-01 11:28:04.601000+00:00,2021-09-01 12:09:08.288000+00:00,2463,1818,Dynamic Earth,"Outside Dynamic Earth, Holyrood Road",55.951089465236365,-3.17572460948655,1818,Dynamic Earth,"Outside Dynamic Earth, Holyrood Road",55.951089465236365,-3.17572460948655
2021-09-01 11:28:16.230000+00:00,2021-09-01 12:08:46.851000+00:00,2430,1818,Dynamic Earth,"Outside Dynamic Earth, Holyrood Road",55.951089465236365,-3.17572460948655,1818,Dynamic Earth,"Outside Dynamic Earth, Holyrood Road",55.951089465236365,-3.17572460948655
2021-09-01 11:29:23.486000+00:00,2021-09-01 12:09:25.726000+00:00,2402,1818,Dynamic Earth,"Outside Dynamic Earth, Holyrood Road",55.951089465236365,-3.17572460948655,1818,Dynamic Earth,"Outside Dynamic Earth, Holyrood Road",55.951089465236365,-3.17572460948655
2021-09-01 11:29:31.226000+00:00,2021-09-01 12:08:48.784000+00:00,2357,1818,Dynamic Earth,"Outside Dynamic Earth, Holyrood Road",55.951089465236365,-3.17572460948655,1818,Dynamic Earth,"Outside Dynamic Earth, Holyrood Road",55.951089465236365,-3.17572460948655
2021-09-01 11:32:46.597000+00:00,2021-09-01 12:10:22.505000+00:00,2255,1722,Cramond Foreshore,Near Cramond Beach,55.98003076740317,-3.300641788832536,1722,Cramond Foreshore,Near Cramond Beach,55.98003076740317,-3.300641788832536
2021-09-01 11:32:48.239000+00:00,2021-09-01 12:11:07.377000+00:00,2299,1722,Cramond Foreshore,Near Cramond Beach,55.98003076740317,-3.300641788832536,1722,Cramond Foreshore,Near Cramond Beach,55.98003076740317,-3.300641788832536
2021-09-01 11:59:50.832000+00:00,2021-09-01 13:02:41.042000+00:00,3770,1024,Meadow Place,End of Meadow Place,55.94023763168944,-3.194640214184801,265,Meadows East,Between Melville Terrace and Sciennes,55.939809466328285,-3.182738850746432
2021-09-01 12:02:19.414000+00:00,2021-09-01 12:06:57.185000+00:00,277,1028,Hunter Square,In Hunter Square next to Tron Kirk,55.94979756563328,-3.1877950320129003,1818,Dynamic Earth,"Outside Dynamic Earth, Holyrood Road",55.951089465236365,-3.17572460948655
2021-09-01 12:03:49.149000+00:00,2021-09-01 14:26:39.689000+00:00,8570,254,Kings Building 3,Kings Building House,55.92347880784664,-3.1753845849070785,1748,Colinton Road,Near Napier University Merchiston Campus,55.93341635916104,-3.21239711224257
2021-09-01 12:04:34.179000+00:00,2021-09-01 14:26:47.092000+00:00,8532,254,Kings Building 3,Kings Building House,55.92347880784664,-3.1753845849070785,1748,Colinton Road,Near Napier University Merchiston Campus,55.93341635916104,-3.21239711224257
2021-09-01 12:06:43.975000+00:00,2021-09-01 12:16:23.059000+00:00,579,254,Kings Building 3,Kings Building House,55.92347880784664,-3.1753845849070785,265,Meadows East,Between Melville Terrace and Sciennes,55.939809466328285,-3.182738850746432
2021-09-01 12:16:54.441000+00:00,2021-09-01 12:40:11.216000+00:00,1396,1025,Dundee Terrace,Corner of Dundee Street & Dundee Terrace,55.93970989541296,-3.2205889336679547,254,Kings Building 3,Kings Building House,55.92347880784664,-3.1753845849070785
2021-09-01 12:21:47.179000+00:00,2021-09-01 12:38:13.965000+00:00,986,1756,Western General Hospital,Porterfield Road,55.96283984266853,-3.234135938375289,1091,Holyrood Road,Opposite St Leonards Land,55.94955950619123,-3.180413257527789
2021-09-01 12:23:24.546000+00:00,2021-09-01 12:40:14.152000+00:00,1009,1102,Haymarket Station,Haymarket Station,55.94556945067266,-3.21818468327956,1756,Western General Hospital,Porterfield Road,55.96283984266853,-3.234135938375289
2021-09-01 12:24:01.562000+00:00,2021-09-01 12:41:01.438000+00:00,1019,189,City Chambers,City Chambers Quadrangle,55.95010933017899,-3.190257770093808,358,Leith Walk,Leith Walk opposite Dalmeny Street,55.96517649040763,-3.1761801702076298
2021-09-01 12:25:52.165000+00:00,2021-09-01 12:50:46.065000+00:00,1493,358,Leith Walk,Leith Walk opposite Dalmeny Street,55.96517649040763,-3.1761801702076298,1102,Haymarket Station,Haymarket Station,55.94556945067266,-3.21818468327956
2021-09-01 12:30:43.182000+00:00,2021-09-01 13:02:29.137000+00:00,1905,259,St Andrew Square,North East corner,55.95490573198223,-3.192443756949956,1728,Portobello - Kings Road,Foot of Kings Road next to the promenade,55.95791540692348,-3.118332042090288
2021-09-01 12:32:15.028000+00:00,2021-09-01 13:01:57.982000+00:00,1782,259,St Andrew Square,North East corner,55.95490573198223,-3.192443756949956,1728,Portobello - Kings Road,Foot of Kings Road next to the promenade,55.95791540692348,-3.118332042090288
2021-09-01 12:32:54.860000+00:00,2021-09-01 13:03:06.691000+00:00,1811,1745,Scotland Street,Corner with Royal Crescent,55.96037972054591,-3.1954703369027584,1728,Portobello - Kings Road,Foot of Kings Road next to the promenade,55.95791540692348,-3.118332042090288
2021-09-01 12:33:57.173000+00:00,2021-09-01 13:02:30.998000+00:00,1713,1745,Scotland Street,Corner with Royal Crescent,55.96037972054591,-3.1954703369027584,1728,Portobello - Kings Road,Foot of Kings Road next to the promenade,55.95791540692348,-3.118332042090288
2021-09-01 12:36:12.995000+00:00,2021-09-01 12:46:25.268000+00:00,612,1024,Meadow Place,End of Meadow Place,55.94023763168944,-3.194640214184801,1091,Holyrood Road,Opposite St Leonards Land,55.94955950619123,-3.180413257527789
2021-09-01 12:36:39.363000+00:00,2021-09-01 13:31:53.058000+00:00,3313,1728,Portobello - Kings Road,Foot of Kings Road next to the promenade,55.95791540692348,-3.118332042090288,2268,Picardy Place,Outside Omni Centre,55.95653524179326,-3.1862476120746805
2021-09-01 12:36:57.509000+00:00,2021-09-01 13:32:02.091000+00:00,3304,1728,Portobello - Kings Road,Foot of Kings Road next to the promenade,55.95791540692348,-3.118332042090288,2268,Picardy Place,Outside Omni Centre,55.95653524179326,-3.1862476120746805
2021-09-01 12:38:47.967000+00:00,2021-09-01 12:42:18.212000+00:00,210,265,Meadows East,Between Melville Terrace and Sciennes,55.939809466328285,-3.182738850746432,1096,West Crosscauseway,On island next to Buccleuch Street,55.9438359841253,-3.1849514084976818
2021-09-01 12:42:46.656000+00:00,2021-09-01 12:47:14.471000+00:00,267,265,Meadows East,Between Melville Terrace and Sciennes,55.939809466328285,-3.182738850746432,248,Bristo Square,"Bristo Square, near Potterrow",55.94583371599285,-3.189053072075467
