name,geometry,lat,lon,category
Leith Academy,POINT (-3.1656822096279016 55.96581271878211),55.96581272,-3.16568221,school
Lorne Primary School,POINT (-3.1745939066218622 55.9660732479301),55.96607325,-3.174593907,school
Fountainbridge Library,POINT (-3.218358857201007 55.940107818190256),55.94010782,-3.218358857,library
Drummond Community High School,POINT (-3.19014090077732 55.96051884415331),55.96051884,-3.190140901,school
Stewart's Melville College,POINT (-3.2271918592607007 55.953951031567875),55.95395103,-3.227191859,school
Craigentinny Primary School,POINT (-3.144027159176152 55.95989658183913),55.95989658,-3.144027159,school
St Ninian's RC Primary School,POINT (-3.1501312385190254 55.96047022310154),55.96047022,-3.150131239,school
Bruntsfield Primary School,POINT (-3.2104686773700544 55.93731601061623),55.93731601,-3.210468677,school
Currie Library,POINT (-3.311059707248593 55.89609792060965),55.89609792,-3.311059707,library
Currie Primary School,POINT (-3.3124645116709384 55.89765540208553),55.8976554,-3.312464512,school
Tynecastle High School,POINT (-3.229695520042736 55.94003635266298),55.94003635,-3.22969552,school
University of Edinburgh - High School Yards,POINT (-3.1836487147191055 55.94842786388321),55.94842786,-3.183648715,university
James Gillespie's Primary School,POINT (-3.2015967853166374 55.93697284637834),55.93697285,-3.201596785,school
Edinburgh Napier University - Craiglockhart Campus,POINT (-3.239711183275301 55.91840635149083),55.91840635,-3.239711183,university
St Peter's RC Primary School,POINT (-3.204512686729157 55.92929158535858),55.92929159,-3.204512687,school
Castleview Primary School,POINT (-3.1363946412562673 55.93011752149636),55.93011752,-3.136394641,school
Gracemount High School,POINT (-3.152014206865897 55.90443404322884),55.90443404,-3.152014207,school
Buckstone Primary School,POINT (-3.1957864970329304 55.90568831669771),55.90568832,-3.195786497,school
Liberton High School,POINT (-3.1529298687275484 55.91467425739395),55.91467426,-3.152929869,school
,POINT (-3.280517419706985 55.95233346392666),55.95233346,-3.28051742,school
Map Library,POINT (-3.179831189475281 55.93663050768563),55.93663051,-3.179831189,library
Edinburgh International Conference Centre (EICC),POINT (-3.209597698150639 55.94617437867845),55.94617438,-3.209597698,commercial
Exchange Crescent,POINT (-3.2085861288513366 55.94727055263965),55.94727055,-3.208586129,commercial
Edinburgh One,POINT (-3.2074565726969277 55.94601335028533),55.94601335,-3.207456573,commercial
University of Edinburgh - Lauriston Campus,POINT (-3.1986435007418788 55.94572216573812),55.94572217,-3.198643501,university
,POINT (-3.312811017479736 55.9111754633866),55.91117546,-3.312811017,residential
Leith Primary School,POINT (-3.1685309544888294 55.97039797788027),55.97039798,-3.168530954,school
Hays Community Business Centre,POINT (-3.1224221830923296 55.93446599997705),55.934466,-3.122422183,commercial
Prestonfield Primary School,POINT (-3.1588536953109627 55.930961261939764),55.93096126,-3.158853695,school
,POINT (-3.128128791046964 55.93509770054995),55.9350977,-3.128128791,school
,POINT (-3.1190902173702018 55.94018068499834),55.94018068,-3.119090217,residential
Holy Rood RC High School,POINT (-3.1431865773747174 55.9411503126841),55.94115031,-3.143186577,school
Portobello High School,POINT (-3.1123026716724023 55.944656082922485),55.94465608,-3.112302672,school
Brunstane Primary School,POINT (-3.103658591856961 55.94181512000573),55.94181512,-3.103658592,school
